CropType,CropDays,SoilMoisture,temperature,Humidity,Irrigation
Cotton,93,25.59,32.37,73.68,0
Rice,88,38.37,31.96,70.71,1
Cotton,38,10.07,30.11,55.72,1
Cotton,15,48.77,26.85,65.98,0
Wheat,131,83.09,17.37,79.13,0
Wheat,60,57.88,19.3,59.67,0
Cotton,111,68.08,35.65,63.73,0
Wheat,50,66.31,21.04,40.4,0
Potato,146,75.89,23.69,69.21,0
Cotton,40,81.79,31.32,76.42,0
Wheat,124,33.46,15.78,54.87,0
Wheat,88,43.56,23.18,50.93,0
Rice,5,88.74,33.31,82.41,0
Cotton,33,15.4,24.47,48.04,1
Potato,35,50.14,21.81,61.05,0
Maize,142,51.97,11.9,73.22,0
Sugarcane,63,86.14,43.17,59.75,1
Sugarcane,143,74.22,25.96,64.98,0
Sugarcane,62,63.84,31.29,73.15,0
Potato,75,37.57,18.36,58.88,0
Wheat,121,65.05,15.65,54.93,0
Potato,51,32.9,16.67,62.36,1
Wheat,113,15.52,15.77,51.78,1
Rice,113,22.59,29.68,83.45,1
Wheat,129,30.36,19.83,48.31,0
Cotton,123,30.58,29.31,74.01,0
Potato,139,79.4,17.79,71.28,0
Sugarcane,3,60.23,22.25,70.69,0
Cotton,128,54.01,32.41,69.26,0
Maize,42,31.93,30.22,70.26,1
Cotton,113,30.56,31.3,67.82,0
Rice,147,71.71,33.09,92.17,0
Cotton,104,61.55,30.87,47.83,0
Sugarcane,68,30.17,35.79,61.79,1
Rice,145,36.19,33.17,110.61,1
Potato,38,93.21,24.55,67.2,0
Sugarcane,30,64.83,34.25,73.94,0
Rice,4,12.07,24.65,84.82,1
Sugarcane,46,87.76,29.38,77.4,0
Rice,116,35.03,35.23,76.58,1
Maize,25,43.55,19.26,78.9,0
Maize,130,37.42,27.25,82.79,0
Maize,99,31.78,21.34,66.95,1
Cotton,20,65.25,34.77,66.51,0
Cotton,98,17.99,27.57,60.82,1
Potato,125,81.31,17.94,73.46,0
Potato,101,54.39,16.42,74.3,0
Cotton,6,14.39,41.95,78.43,1
Cotton,144,92.95,19.87,61.86,0
Rice,92,73.24,26.34,74.22,0
Wheat,140,44.76,18.33,56.82,0
Potato,118,70.74,13.7,76.68,0
Sugarcane,22,72.05,30.43,64.07,0
Potato,29,19.87,22.22,75.25,1
Maize,85,50.25,23.74,52.52,0
Maize,69,85.37,25.01,72.56,0
Sugarcane,4,62.35,31.72,79.26,0
Cotton,124,20.92,32.41,64.67,1
Wheat,74,27.57,15.58,53.01,1
Sugarcane,35,38.61,24.22,85.7,1
Potato,115,33.96,21.79,60.57,1
Sugarcane,120,72.48,26.85,78.77,0
Wheat,99,45.07,26.39,54.08,0
Potato,37,30.28,25.72,76.08,1
Potato,17,55.42,7.72,66.73,0
Rice,100,10.92,31.62,78.7,1
Rice,111,17.08,31.01,71.95,1
Sugarcane,53,77.28,26.5,69.91,0
Sugarcane,75,19.95,32.06,64.36,1
Sugarcane,7,46.22,27.47,56.43,0
Maize,5,53.63,27.23,50.38,0
Potato,145,90.52,16.41,65.37,0
Potato,91,31.14,16.38,48.74,1
